image,split,source_video,source_frame,detection_index,obb_class,obb_conf,obb_cx,obb_cy,obb_w,obb_h,obb_rotation,crop_width,crop_height
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00031.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,840,0,0,0.923972,145.833,701.975,100.294,368.857,0.158495,124,457
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00032.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,840,1,0,0.903718,530.261,834.670,371.427,96.190,0.630123,461,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00033.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,840,2,0,0.892325,540.409,407.834,112.492,377.584,0.667541,139,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00034.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,840,3,0,0.857093,330.377,878.515,99.346,327.654,1.415333,123,406
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00035.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,840,4,0,0.779892,185.967,877.263,102.634,323.534,1.049394,127,401
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00036.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,840,5,0,0.593466,243.541,840.350,88.940,182.775,1.081183,110,227
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00037.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,960,0,0,0.925395,146.592,702.013,100.720,368.073,0.159108,125,456
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00038.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,960,1,0,0.918957,187.331,876.583,98.840,309.448,1.052612,123,384
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00039.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,960,2,0,0.906995,530.401,834.253,371.369,96.339,0.627349,460,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00040.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,960,3,0,0.892338,340.069,877.281,101.564,334.591,1.382288,126,415
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00041.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,960,4,0,0.891734,540.512,407.906,112.762,377.640,0.666886,140,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00042.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1080,0,0,0.924708,190.179,873.280,99.928,326.260,1.005006,124,405
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00043.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1080,1,0,0.921856,148.917,701.181,101.073,368.699,0.160654,125,457
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00044.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1080,2,0,0.919505,530.472,811.188,370.987,95.694,0.654214,460,119
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00045.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1080,3,0,0.894188,347.989,869.339,103.190,330.509,1.370949,128,410
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00046.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1080,4,0,0.893310,540.620,407.986,112.565,377.609,0.665686,140,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00047.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1200,0,0,0.923280,151.508,698.674,102.076,366.699,0.165567,127,455
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00048.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1200,1,0,0.911506,182.689,873.971,94.865,316.696,1.010178,118,393
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00049.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1200,2,0,0.902512,346.109,860.036,105.374,353.337,1.368100,131,438
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00050.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1200,3,0,0.897541,542.402,808.257,369.756,98.919,0.734489,458,123
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00051.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1200,4,0,0.895248,540.765,408.100,112.358,377.586,0.664140,139,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00052.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1320,0,0,0.927900,181.554,873.088,97.606,318.626,1.024896,121,395
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00053.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1320,1,0,0.920239,152.871,698.379,101.551,364.310,0.155052,126,452
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00054.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1320,2,0,0.899029,353.155,850.587,106.028,348.970,1.346221,131,433
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00055.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1320,3,0,0.896339,538.788,802.741,373.895,97.510,0.743543,464,121
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00056.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1320,4,0,0.892806,540.690,408.043,112.931,377.598,0.662211,140,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00057.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1440,0,0,0.921782,179.432,873.549,96.012,309.874,0.998469,119,384
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00058.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1440,1,0,0.916487,153.172,698.724,102.351,367.900,0.163940,127,456
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00059.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1440,2,0,0.901703,539.973,801.734,374.180,97.609,0.759154,464,121
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00060.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1440,3,0,0.898403,345.362,852.158,110.374,359.592,1.361757,137,446
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00061.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1440,4,0,0.892114,540.383,407.813,112.410,377.625,0.663902,139,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00062.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1560,0,0,0.919211,180.489,871.855,96.875,310.429,1.025455,120,385
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00063.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1560,1,0,0.918036,156.016,691.082,102.709,363.678,0.152918,127,451
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00064.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1560,2,0,0.906279,542.827,800.489,374.141,98.640,0.783352,464,122
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00065.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1560,3,0,0.898426,350.406,841.560,108.360,357.663,1.399613,134,444
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00066.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1560,4,0,0.893217,540.703,408.063,112.817,377.614,0.663717,140,468
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\val\images\公蝦仰拍-1_crop_00067.jpg,val,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1680,0,0,0.922410,181.313,871.216,97.878,316.130,1.045346,121,392
C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\HBB\shrimp_HBB_dataset_from_obb\train\images\公蝦仰拍-1_crop_00068.jpg,train,C:\Users\lab509\Shrimp-Project\Shrimp-Yolo\Train\male-female-shrimp\OBB\..\video\公蝦仰拍-1.mp4,1680,1,0,0.912798,155.945,691.884,103.777,363.985,0.163893,129,451
